iter	Logloss
0	0.6894062042
1	0.6851532745
2	0.6809028625
3	0.6784900665
4	0.6753769684
5	0.6713663483
6	0.6677938843
7	0.6639902496
8	0.6606156921
9	0.6566271973
10	0.653032074
11	0.6495737457
12	0.6456712341
13	0.642124939
14	0.6377527618
15	0.6348261261
16	0.6320068359
17	0.6283543015
18	0.6249104691
19	0.621842804
20	0.6186952209
21	0.6154355621
22	0.6122792435
23	0.6092489624
24	0.6066930008
25	0.6029213333
26	0.5991526413
27	0.5951383972
28	0.5920054626
29	0.5888285446
30	0.5860168839
31	0.5833330536
32	0.5804058075
33	0.5772070312
34	0.5745452118
35	0.571251297
36	0.5678638458
37	0.5651377106
38	0.5624637222
39	0.5597393417
40	0.5563869476
41	0.5541074371
42	0.5516338348
43	0.5487992477
44	0.5460399246
45	0.5438598633
46	0.5413750458
47	0.538713913
48	0.5364735413
49	0.5336138916
50	0.5299996948
51	0.5267888641
52	0.5246525574
53	0.5218537903
54	0.5190467834
55	0.5161613846
56	0.5139494705
57	0.512441864
58	0.509327774
59	0.5061882782
60	0.5039254761
61	0.5013716888
62	0.4990615845
63	0.4967462158
64	0.4942259979
65	0.4915247726
66	0.4888736725
67	0.486752243
68	0.4845003128
69	0.482122612
70	0.4789202881
71	0.4769713593
72	0.4749411774
73	0.4727490234
74	0.4698899078
75	0.4680486679
76	0.4655284882
77	0.4625152206
78	0.4603259277
79	0.4578825378
80	0.4562007141
81	0.4537876892
82	0.4514677429
83	0.4497212219
84	0.4478612518
85	0.4458322144
86	0.4437595749
87	0.4416026688
88	0.439559288
89	0.4371103287
90	0.4350075531
91	0.4328804016
92	0.4302178192
93	0.427975769
94	0.4250735855
95	0.4231411743
96	0.4210413361
97	0.418931694
98	0.4170646667
99	0.414894371
100	0.4129709625
101	0.4104515457
102	0.4088353729
103	0.406950264
104	0.405128479
105	0.4031175232
106	0.4007492065
107	0.3991564178
108	0.3972158813
109	0.3951570892
110	0.3927869797
111	0.3911888885
112	0.3899837875
113	0.38828125
114	0.386479187
115	0.3846954346
116	0.3828390503
117	0.3808373642
118	0.3791172791
119	0.3773691559
120	0.3755052185
121	0.3735274887
122	0.3723023605
123	0.3707820892
124	0.3689940643
125	0.3675700378
126	0.3661250687
127	0.3649258041
128	0.3632284546
129	0.3613937378
130	0.360127182
131	0.3585726929
132	0.3568107224
133	0.3550766754
134	0.3532703018
135	0.3516039276
136	0.3499649048
137	0.348131752
138	0.3466331863
139	0.3450328827
140	0.3431958389
141	0.3414027405
142	0.3398154449
143	0.3381174088
144	0.3366652679
145	0.3354282761
146	0.3340750504
147	0.3326570892
148	0.331366806
149	0.3298376465
150	0.3283575821
151	0.3270506668
152	0.3260780716
153	0.3245967102
154	0.3233231354
155	0.3220756531
156	0.3204515457
157	0.3192762375
158	0.3174091148
159	0.3158707619
160	0.3149226761
161	0.3133043098
162	0.3118313217
163	0.3102216339
164	0.3092596817
165	0.3078999329
166	0.3069509506
167	0.3058095169
168	0.3043182373
169	0.3032261658
170	0.302112236
171	0.3007117462
172	0.2997545242
173	0.2982106972
174	0.2971531296
175	0.2959400558
176	0.2948833466
177	0.2938993454
178	0.2930005646
179	0.2917634583
180	0.2906707764
181	0.2894345474
182	0.2881732941
183	0.2871191788
184	0.2859833145
185	0.2847987175
186	0.2834286499
187	0.2825220299
188	0.2811755371
189	0.2796305466
190	0.278393383
191	0.2774806595
192	0.2763726807
193	0.2752119827
194	0.2743255615
195	0.2733050537
196	0.2724144936
197	0.2710066605
198	0.2698427582
199	0.2686518097
200	0.2675769615
201	0.2666739655
202	0.2656092453
203	0.2646110535
204	0.26379879
205	0.2628884315
206	0.2618803596
207	0.2610153961
208	0.2598549652
209	0.2588214493
210	0.2578951836
211	0.2569844437
212	0.256218605
213	0.2554096985
214	0.2545546722
215	0.253461647
216	0.2525057983
217	0.2515546608
218	0.2506041908
219	0.2496190262
220	0.2486849976
221	0.247862339
222	0.2466560936
223	0.2457185745
224	0.2449016571
225	0.2440424728
226	0.2432190704
227	0.2423691177
228	0.24126091
229	0.2403743362
230	0.2395506668
231	0.2388014221
232	0.2380390739
233	0.2371638298
234	0.236059742
235	0.2352133942
236	0.2345048714
237	0.2336555481
238	0.2329050064
239	0.2323599243
240	0.2314879417
241	0.2309630394
242	0.2302887344
243	0.2295020866
244	0.2289326096
245	0.2280987167
246	0.2270786858
247	0.2262310791
248	0.2253378105
249	0.2247559738
250	0.223773613
251	0.2231439972
252	0.2224406052
253	0.2215958023
254	0.2208691788
255	0.220077095
256	0.219260273
257	0.2184617615
258	0.2173304939
259	0.2164946747
260	0.215676384
261	0.2147654343
262	0.21414814
263	0.2133960533
264	0.212592926
265	0.211889267
266	0.2110788155
267	0.2100626564
268	0.2093141556
269	0.2085900497
270	0.207975769
271	0.2072993851
272	0.2065663528
273	0.2059147644
274	0.2054445267
275	0.2048045731
276	0.2040697479
277	0.2035103607
278	0.2028905106
279	0.2021860886
280	0.2016744232
281	0.2010634995
282	0.2003497887
283	0.1997412682
284	0.1990731239
285	0.1983459473
286	0.1978666878
287	0.1972352982
288	0.1965071106
289	0.1958420753
290	0.1952602959
291	0.1945410538
292	0.1937877464
293	0.1932201385
294	0.1927312851
295	0.192101078
296	0.1913909912
297	0.1909742737
298	0.1904249763
299	0.189595108
300	0.1889224243
301	0.1883874893
302	0.187784214
303	0.1872261238
304	0.1867046738
305	0.1861849594
306	0.1856199074
307	0.1851419258
308	0.1845595169
309	0.1842510223
310	0.1836368561
311	0.1830092049
312	0.1824666977
313	0.1819335747
314	0.1813709068
315	0.1807774734
316	0.1802432251
317	0.1796089935
318	0.1791616058
319	0.1786722755
320	0.1782296753
321	0.1776002884
322	0.1770522499
323	0.1766546631
324	0.176085968
325	0.1755595779
326	0.1747796822
327	0.1742019081
328	0.1734536743
329	0.1730970764
330	0.1727376747
331	0.1722706413
332	0.1719179916
333	0.1713259125
334	0.1707632637
335	0.1702570152
336	0.1698532104
337	0.1692915535
338	0.1688895798
339	0.168539505
340	0.1680625916
341	0.1676501274
342	0.1670254898
343	0.1665805054
344	0.166233387
345	0.1656380272
346	0.1651116562
347	0.164641571
348	0.1641986465
349	0.1636328697
350	0.1632260895
351	0.1626914406
352	0.1620879936
353	0.1615003395
354	0.1610248947
355	0.160500412
356	0.1599885559
357	0.1594897747
358	0.1590752792
359	0.1585823631
360	0.1579485226
361	0.1574088001
362	0.1569827747
363	0.15658988
364	0.1562160969
365	0.1558556366
366	0.1554278851
367	0.1549916553
368	0.1546584606
369	0.1542616844
370	0.1539059448
371	0.1535670471
372	0.1531254482
373	0.1527211571
374	0.1523143387
375	0.1517789459
376	0.1513511658
377	0.1509719563
378	0.150443325
379	0.1501311684
380	0.1498569393
381	0.1493147087
382	0.1489674377
383	0.1485403633
384	0.1481961727
385	0.1476587868
386	0.1471627426
387	0.1466325378
388	0.1463395691
389	0.1458899117
390	0.1454304314
391	0.1450973701
392	0.1446905327
393	0.1443129253
394	0.1440024185
395	0.1436286926
396	0.143074789
397	0.1426505089
398	0.142241993
399	0.1417439651
400	0.1413738441
401	0.1410810089
402	0.1406578827
403	0.1403092766
404	0.1397156239
405	0.1392808342
406	0.1389271259
407	0.1384689713
408	0.1381916809
409	0.1379053402
410	0.1375536823
411	0.1372759438
412	0.1369146538
413	0.1365034866
414	0.1360858631
415	0.1356759262
416	0.1351507378
417	0.1347062492
418	0.1343611813
419	0.133943367
420	0.1335358238
421	0.1332196426
422	0.1328357315
423	0.1325126934
424	0.1323148537
425	0.1320162106
426	0.1316811848
427	0.1312224007
428	0.1308558464
429	0.1305287743
430	0.13017519
431	0.1299025726
432	0.1295059776
433	0.1290110588
434	0.1287196541
435	0.1282423782
436	0.127994957
437	0.1277175045
438	0.1273323345
439	0.1268758202
440	0.126502285
441	0.1260769272
442	0.1257866287
443	0.1254918194
444	0.1252412701
445	0.1249472427
446	0.1246338081
447	0.1243212032
448	0.123961792
449	0.1235602379
450	0.1233446598
451	0.1231527519
452	0.1228191185
453	0.1224863815
454	0.1222102356
455	0.1218421364
456	0.121571703
457	0.1212905884
458	0.1210730171
459	0.12080616
460	0.120543232
461	0.1202881145
462	0.1199993706
463	0.11974823
464	0.1194100189
465	0.119080658
466	0.1188289738
467	0.1184388638
468	0.1181083298
469	0.1178772354
470	0.1176545906
471	0.1173145199
472	0.1170147896
473	0.1167031765
474	0.1163304329
475	0.1160676003
476	0.1158889198
477	0.1155078888
478	0.1152767181
479	0.1150349808
480	0.1148017216
481	0.1145872116
482	0.1143132305
483	0.1139486217
484	0.1136820602
485	0.1134275723
486	0.1132019234
